cenario,modelo,usa_atributos_derivados,best_cv_f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_macro_ovr,pr_auc_macro_ovr,brier_multiclass,best_params
CBC_com_derivados,XGBoost,True,0.9601390354074049,0.979757085020243,0.917285350618684,0.9232323232323232,0.917285350618684,0.9051569189771098,0.9803706697072617,0.9972482906697826,0.9219294988123625,0.03175040232099657,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__subsample"": 0.8}"
CBC_original,XGBoost,False,0.9477778501194555,0.9757085020242915,0.8802483135816469,0.9101010101010102,0.8802483135816469,0.8842962811439948,0.9761960659430877,0.9979197691596016,0.9379706152433425,0.02960220188551892,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.8}"
CBC_original,Random Forest,False,0.9568073172141481,0.9676113360323887,0.8689140440774428,0.9201817064562162,0.8689140440774428,0.8828650689565417,0.9675458313197992,0.9998528350100463,0.997747588700461,0.06873906882591094,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}"
CBC_com_derivados,Random Forest,True,0.9423111998112891,0.9595141700404858,0.8244695996329985,0.8904919517664615,0.8244695996329985,0.84630531952112,0.9600487379271697,0.9988301759711296,0.9573032965890644,0.08937470297014415,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}"
CBC_com_derivados,SVM,True,0.8275671625790533,0.8623481781376519,0.7900219795644632,0.7962037667920021,0.7900219795644632,0.7732317668555292,0.8664532574625973,0.9872942583805582,0.8649517918138296,0.1891664545124687,"{""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
CBC_original,SVM,False,0.8018270494654225,0.9230769230769231,0.7443534169024366,0.7804828387114325,0.7443534169024366,0.7549808321030204,0.9178185475810606,0.9910548028847498,0.8829100029536393,0.1482618183497357,"{""model__C"": 10, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
CBC_com_derivados,KNN,True,0.7191722103533572,0.805668016194332,0.7428119558838513,0.7214131046930412,0.7428119558838513,0.72680917236602,0.8111854116227132,0.8891827742910796,0.6928227215318871,0.32409181392477093,"{""model__n_neighbors"": 3, ""model__p"": 1, ""model__weights"": ""distance""}"
CBC_com_derivados,MLP,True,0.8058007944760106,0.8178137651821862,0.725301584778709,0.7430879317554397,0.725301584778709,0.7162826688217876,0.8233123163147061,0.9761099116105755,0.8160164011466942,0.2648381337258836,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [128], ""model__learning_rate_init"": 0.003}"
CBC_original,KNN,False,0.7285914825154042,0.8137651821862348,0.7525605682468428,0.6977846429725654,0.7525605682468428,0.7101334602318854,0.8170365554275625,0.9038337196442375,0.6525733064795616,0.3042330825730644,"{""model__n_neighbors"": 3, ""model__p"": 1, ""model__weights"": ""distance""}"
CBC_com_derivados,Logistic Regression,True,0.827820666875701,0.8744939271255061,0.7097567378613131,0.6934009241648907,0.7097567378613131,0.6963664745595439,0.8750110547047052,0.9834568442487408,0.8367396156594935,0.19853720137900488,"{""model__C"": 10, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
CBC_original,MLP,False,0.8323939623545454,0.8704453441295547,0.6934612660102855,0.6868198486948488,0.6934612660102855,0.6812698319666877,0.8708913237528135,0.9857682319558381,0.8532056706939488,0.1961607284081766,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [128], ""model__learning_rate_init"": 0.003}"
CBC_original,Logistic Regression,False,0.8127280192100557,0.854251012145749,0.6898770290927154,0.6787118981134876,0.6898770290927154,0.6754613348422824,0.8548184502503431,0.9856950389946516,0.8389420285213453,0.20258983824794294,"{""model__C"": 10, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
CBC_com_derivados,GaussianNB,True,0.7105113123138181,0.6923076923076923,0.690734067858251,0.6473119351408826,0.690734067858251,0.6593087093521325,0.6960765692875186,0.923129493862453,0.7007070505382473,0.5313796370273289,"{""model__var_smoothing"": 1e-08}"
CBC_original,GaussianNB,False,0.6750385376226828,0.7044534412955465,0.6845804028810565,0.6411139169472503,0.6845804028810565,0.6526071396866419,0.7102224844042757,0.9335294411371043,0.6812752663580549,0.5078061515820979,"{""model__var_smoothing"": 1e-09}"
