feature,importance_mean,importance_std,tipo
HGB,0.35704400333495984,0.02888080308530901,original
MCV,0.23032662718162572,0.01954544704508424,original
MCH,0.18552293463769887,0.024676878984644598,original
MCHC,0.17202445284120024,0.02020253377058712,original
PLT,0.10827680609717136,0.0159714927555405,original
WBC,0.10820239084047735,0.015783412868176618,original
HCT,0.004636552633428045,0.00546127607353064,original
PLR,0.0035212925416227003,0.00302328878782713,derivado
PLT_WBC_ratio,0.0014899957428693063,0.005575053577568667,derivado
NLR,0.0,0.0,derivado
LYMp,0.0,0.0,original
NEUTn,0.0,0.0,original
LYMn,0.0,0.0,original
NEUTp,0.0,0.0,original
PLT_RBC_ratio,0.0,0.0,derivado
PDW,0.0,0.0,original
HGB_RBC_ratio,0.0,0.0,derivado
HCT_RBC_ratio,0.0,0.0,derivado
PCT,-0.0007289017312043011,0.001858342075451147,original
WBC_RBC_ratio,-0.00282176824309807,0.006831245585721913,derivado
Mentzer_Index,-0.026811465401692807,0.01503275534217465,derivado
RBC,-0.029543606417499223,0.01283173922429233,original
