fonte,rank,feature,tipo,valor
permutation,1,HGB,original,0.35704400333495984
permutation,2,MCV,original,0.23032662718162572
permutation,3,MCH,original,0.18552293463769887
permutation,4,MCHC,original,0.17202445284120024
permutation,5,PLT,original,0.10827680609717136
permutation,6,WBC,original,0.10820239084047735
permutation,7,HCT,original,0.004636552633428045
permutation,8,PLR,derivado,0.0035212925416227003
permutation,9,PLT_WBC_ratio,derivado,0.0014899957428693063
permutation,10,NLR,derivado,0.0
xgboost_native,1,NEUTn,original,0.24464935064315796
xgboost_native,2,PLR,derivado,0.0912742167711258
xgboost_native,3,PLT_WBC_ratio,derivado,0.07540327310562134
xgboost_native,4,PLT_RBC_ratio,derivado,0.062075499445199966
xgboost_native,5,MCH,original,0.0616978220641613
xgboost_native,6,WBC,original,0.05786531791090965
xgboost_native,7,MCV,original,0.05472894385457039
xgboost_native,8,PLT,original,0.053563620895147324
xgboost_native,9,HGB,original,0.04826463386416435
xgboost_native,10,WBC_RBC_ratio,derivado,0.04159662500023842
shap_global,1,HGB,original,0.9644222
shap_global,2,MCV,original,0.8003155
shap_global,3,MCHC,original,0.520797
shap_global,4,PLT,original,0.4660979
shap_global,5,MCH,original,0.4358578
shap_global,6,WBC,original,0.42530975
shap_global,7,RBC,original,0.24233964
shap_global,8,PLT_WBC_ratio,derivado,0.22580804
shap_global,9,Mentzer_Index,derivado,0.19609761
shap_global,10,WBC_RBC_ratio,derivado,0.1793381
