feature,mean_abs_shap,tipo
HGB,0.9644222,original
MCV,0.8003155,original
MCHC,0.520797,original
PLT,0.4660979,original
MCH,0.4358578,original
WBC,0.42530975,original
RBC,0.24233964,original
PLT_WBC_ratio,0.22580804,derivado
Mentzer_Index,0.19609761,derivado
WBC_RBC_ratio,0.1793381,derivado
PLR,0.1420866,derivado
PLT_RBC_ratio,0.12980574,derivado
HCT,0.11599011,original
HCT_RBC_ratio,0.08279297,derivado
NEUTn,0.080318354,original
HGB_RBC_ratio,0.07412588,derivado
NLR,0.056685355,derivado
PCT,0.039925065,original
NEUTp,0.015431762,original
LYMn,0.011153154,original
LYMp,0.009123575,original
PDW,0.0083425185,original
